Geology,2022-01-01,ABC123
Geology,2022-02-15,DEF456
Geology,2022-03-10,GHI789
Geology,2022-04-20,JKL012
Geology,2022-05-05,MNO345
Geology,2022-06-18,PQR678
Lab,2022-07-30,STU901
Lab,2022-08-08,VWX234
Lab,2022-09-25,YZA567
Lab,2022-10-31,BCD890
Drilling,2022-11-15,EFG123
Drilling,2022-12-05,HIJ456
Drilling,2023-01-20,KLM789
Drilling,2023-02-10,NOP012
Reservoir,2023-03-25,QRS345
Reservoir,2023-04-18,TUV678
Reservoir,2023-05-01,WXY901
Reservoir,2023-06-12,ZAB234
Production,2023-07-30,BCD567
Production,2023-08-08,CDE890
Production,2023-09-25,DEF123
Seismic,2023-10-31,EFG456
Seismic,2023-11-15,FGH789
Seismic,2023-12-05,GHI012
Logs,2024-01-20,HIJ345
Logs,2024-02-10,IJK678
Documents,2024-03-25,JKL901
Documents,2024-04-18,KLM234
Workover, 2023-05-20,QWE456